"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Exploitation de laiteries et fabrication de fromage (NAF rév. 2, niveau classe, poste 10.51)";"Codes"
"idBank";"010767633";""
"Dernière mise à jour";"05/04/2024 08:45";""
"Période";"";""
"1990-01";"81.51";"A"
"1990-02";"82.81";"A"
"1990-03";"84.95";"A"
"1990-04";"85.63";"A"
"1990-05";"86.14";"A"
"1990-06";"85.31";"A"
"1990-07";"86.38";"A"
"1990-08";"82.98";"A"
"1990-09";"79.42";"A"
"1990-10";"83.55";"A"
"1990-11";"81.96";"A"
"1990-12";"83.83";"A"
"1991-01";"84.31";"A"
"1991-02";"82.16";"A"
"1991-03";"82.15";"A"
"1991-04";"83.42";"A"
"1991-05";"86.31";"A"
"1991-06";"85.66";"A"
"1991-07";"84.62";"A"
"1991-08";"85.57";"A"
"1991-09";"82.35";"A"
"1991-10";"83.54";"A"
"1991-11";"83.61";"A"
"1991-12";"83.86";"A"
"1992-01";"83.84";"A"
"1992-02";"84.47";"A"
"1992-03";"83.19";"A"
"1992-04";"83.11";"A"
"1992-05";"82.8";"A"
"1992-06";"83.44";"A"
"1992-07";"83.42";"A"
"1992-08";"82.85";"A"
"1992-09";"83.34";"A"
"1992-10";"83.29";"A"
"1992-11";"83.12";"A"
"1992-12";"82.64";"A"
"1993-01";"83.74";"A"
"1993-02";"84.54";"A"
"1993-03";"86.33";"A"
"1993-04";"84.93";"A"
"1993-05";"83.98";"A"
"1993-06";"84.35";"A"
"1993-07";"86.04";"A"
"1993-08";"85.66";"A"
"1993-09";"84.65";"A"
"1993-10";"84.92";"A"
"1993-11";"85.39";"A"
"1993-12";"84.62";"A"
"1994-01";"85.2";"A"
"1994-02";"85.4";"A"
"1994-03";"85.35";"A"
"1994-04";"85.03";"A"
"1994-05";"84.93";"A"
"1994-06";"85.1";"A"
"1994-07";"83.39";"A"
"1994-08";"86.14";"A"
"1994-09";"88.18";"A"
"1994-10";"90.82";"A"
"1994-11";"89.78";"A"
"1994-12";"88.47";"A"
"1995-01";"87.44";"A"
"1995-02";"87.43";"A"
"1995-03";"88.01";"A"
"1995-04";"87.93";"A"
"1995-05";"88.56";"A"
"1995-06";"91.2";"A"
"1995-07";"88.2";"A"
"1995-08";"88.64";"A"
"1995-09";"88.99";"A"
"1995-10";"91.47";"A"
"1995-11";"89.37";"A"
"1995-12";"89.12";"A"
"1996-01";"87.28";"A"
"1996-02";"87.18";"A"
"1996-03";"86.72";"A"
"1996-04";"88.18";"A"
"1996-05";"88.68";"A"
"1996-06";"87.27";"A"
"1996-07";"87.49";"A"
"1996-08";"89.43";"A"
