"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de pesticides et d'autres produits agrochimiques (NAF rév. 2, niveau classe, poste 20.20)";"Codes"
"idBank";"010767804";""
"Dernière mise à jour";"05/04/2024 08:45";""
"Période";"";""
"1990-01";"81.96";"A"
"1990-02";"82.65";"A"
"1990-03";"81.16";"A"
"1990-04";"76.08";"A"
"1990-05";"82.79";"A"
"1990-06";"80.29";"A"
"1990-07";"76.33";"A"
"1990-08";"74.47";"A"
"1990-09";"75.03";"A"
"1990-10";"69.8";"A"
"1990-11";"68.72";"A"
"1990-12";"62.04";"A"
"1991-01";"78.6";"A"
"1991-02";"76.31";"A"
"1991-03";"77.94";"A"
"1991-04";"71.38";"A"
"1991-05";"59.69";"A"
"1991-06";"61.49";"A"
"1991-07";"71.31";"A"
"1991-08";"66.89";"A"
"1991-09";"90.84";"A"
"1991-10";"73.59";"A"
"1991-11";"73.08";"A"
"1991-12";"69.84";"A"
"1992-01";"67.52";"A"
"1992-02";"62.86";"A"
"1992-03";"60.2";"A"
"1992-04";"54.91";"A"
"1992-05";"62.79";"A"
"1992-06";"65.09";"A"
"1992-07";"66.59";"A"
"1992-08";"63.52";"A"
"1992-09";"69.42";"A"
"1992-10";"70.53";"A"
"1992-11";"70.69";"A"
"1992-12";"71.81";"A"
"1993-01";"67.51";"A"
"1993-02";"72.11";"A"
"1993-03";"63.68";"A"
"1993-04";"76.43";"A"
"1993-05";"76.92";"A"
"1993-06";"89.63";"A"
"1993-07";"71.65";"A"
"1993-08";"59.07";"A"
"1993-09";"69.79";"A"
"1993-10";"80.72";"A"
"1993-11";"82.06";"A"
"1993-12";"71.46";"A"
"1994-01";"74.24";"A"
"1994-02";"75.64";"A"
"1994-03";"86.52";"A"
"1994-04";"90.77";"A"
"1994-05";"86.43";"A"
"1994-06";"57.85";"A"
"1994-07";"73.04";"A"
"1994-08";"80.77";"A"
"1994-09";"70.26";"A"
"1994-10";"74.52";"A"
"1994-11";"82.49";"A"
"1994-12";"83.28";"A"
"1995-01";"74.58";"A"
"1995-02";"74.66";"A"
"1995-03";"80.71";"A"
"1995-04";"69.84";"A"
"1995-05";"64.25";"A"
"1995-06";"70.1";"A"
"1995-07";"64.09";"A"
"1995-08";"64.72";"A"
"1995-09";"74.29";"A"
"1995-10";"56.7";"A"
"1995-11";"73.92";"A"
"1995-12";"90.48";"A"
"1996-01";"87.58";"A"
"1996-02";"80.43";"A"
"1996-03";"74.21";"A"
"1996-04";"80.79";"A"
"1996-05";"89.64";"A"
"1996-06";"82.16";"A"
"1996-07";"67.45";"A"
"1996-08";"84.31";"A"
"1996-09";"79.39";"A"
"1996-10";"74.5";"A"
"1996-11";"64.57";"A"
"1996-12";"74.18";"A"
"1997-01";"85.14";"A"
"1997-02";"108.59";"A"
"1997-03";"88.64";"A"
"1997-04";"83.3";"A"
"1997-05";"70.06";"A"
"1997-06";"55.35";"A"
"1997-07";"82.16";"A"
"1997-08";"87.83";"A"
